author      da pr yyyy mm dd a l csv doc eps mp4 pdf txt xls jpg tif  py  dx zip png
Ohkura      SD PW 2020 04 29 X X   0   0   0   2   0   0   0   0   0   0   0   0   0
Rodrigues   SD PR 2014 12 XX M N   0   0   0   0   0   0   4   0   0   0   0   0   0 
Callahan    SD PR 2020 04 24 Q O   0   1   0   0   0   0   0   0   0   0   0   0   0 
Hue         SD BL 2020 04 24 Q O   0   1   0   0   0   0   0   0   0   0   0   0   0
Roe         SD PR 2020 04 23 C Y   0   0   0   0   7   0   0   0   0   0   0   0   0
Mak         RA PR 2020 04 23 Y Y   0   3   0   0   0   1   1   0   0   0   0   0   0 
Wu          SD PR 2020 04 22 Q Y   0   0   0   0   3   0   1   0   0   0   0   0   0 
Bortoli     SD PR 2020 04 17 C Y   0   2   0   0   1   0   2   0   0   0   0   0   0 
Chokani     SD PW 2020 04 17 X X   0   2   0   0   0   0   0   0   0   0   0   0   0
Rada        SD PR 2020 04 16 C Y   0   7   0   0   0   0   3   0   0   0   0   0   0 
Guo         RA PR 2020 04 16 Y N   0   0   0   0   0   0   9   0   0   0   0   0   0 
Lei         SD PR 2020 04 15 S N   0   0   0   0   0   0   3   0   0   0   0   0   0 
Klee        SD PR 2020 02 07 M Y   0   2   3   0   0   0   0   0   0   0   0   0   0 
Fischer     RA PW 2020 03 23 X X   1   0   0   0   0   0   0   0   0   0   0   0   0 
Liu         SD PR 2020 04 03 S N   0   1   0   0   0   0   0   0   0   0   0   0   0 
Ainsworth   CO NF XXXX XX XX X X   0   0   0   0   0   0   0   0   0   0   0   0   0 
Lisboa      SD PR 2020 04 23 M N   0   0   0   0   0   0   4   1   0   0   0   0   0 
Lin         SD PR 2020 03 31 C Y   0   5   0   0   0   0   0   0   0   0   0   0   0 
Almohawes   SD PR 2019 04 18 M N   0   0   0   0   0   0   4   0   0   0   0   0   0 
Abasiyanik  RA NF XXXX XX XX X X   4   0   0   0   0   0   3   0   0   0   0   0   0 
Colliva     SD PR 2020 03 23 Q Y   0   1   0   0   0   0   5   2   1   0   0   0   0 
Sheikh      SD PW 2020 03 23 X X   0   2   0   0   0   0   0   0   0   0   0   0   0 
Blanca      SD PR 2020 03 19 Q Y   0   0   0   0   1   0   0   0   2   0   0   0   0 
vanBoven    SD PR 2020 05 XX M N   0   1   0   0   0   0   0   0   0   0   0   0   0 
Wang        SD PR 2020 03 18 S O   0   1   0   0   0   0   0   0   0   0   0   0   0
Fix         SD PW 2020 03 17 X X   0   9   0   0   0   0   0   0   0   0   0   0   0 
Zimova      RA PR 2020 03 12 S Y   0   0   0   0   0   0   0   0   0   1   2   1   0 
Fujita      SD PR 2020 03 11 S Y   0   1   0   0   0   0   0   0   0   0   0   0   0 
Guarnaccia  SD PR 2020 03 11 S Y   0   1   0   0   0   0   0   0   0   0   0   0   0 
Schvinski   SD PR 2020 02 26 M N   0   0   0   0   0   0   3   0   0   0   0   0   1
Allayee     SD NF XXXX XX XX X X   0   0   0   0   0   0   1   0   0   0   0   0   0 
Dahlin      SD PR 2020 03 02 C Y   0   4   0   0   0   0   2   0   0   0   0   0   0 
Tower       SD PW 2018 08 10 X X   0   2   0   0   0   0   0   0   0   0   0   0   0 
Castner     SD PW 2018 08 24 X X   0   2   0   0   0   0   0   1   0   0   0   0   0 
Miller      SD PR 2020 02 28 S Y   0   1   0   0   0   0   0   0   0   0   0   0   0 
Yoshida     SD PR 2020 02 27 Q Y   0   0   0   0   0   0   2   0   2   0   0   0   0 
Smith       SD PW 2019 01 21 X X   0   2   0   0   0   0   0   0   0   0   0   0   0 
Gal         RA PR 2020 02 27 C Y   0   0   0   0   0   0   6   0   0   0   0   0   0 
Yeh         SD PR 2020 02 24 C Y   0   2   0   0   0   0   5   0   0   0   0   0   0 
Gibbons     SD PR 2020 02 23 Q Y   0   2   0   0   0   0   0   0   0   0   0   0   0 
Sordillo    RA PR 2020 02 14 S Y   0   1   0   0   0   0   1   0   0   0   0   0   0 
Song        SD PR 2020 02 11 C Y   0   0   0   0   0   0   6   0   2   0   0   0   0 
Ferreira    SD PR 2020 02 11 Q Y   0   0   0   0   1   0   0   0   0   0   0   0   0 
Aliboni     SD PR 2020 02 10 Q Y   0   3   0   0   0   0   0   0   0   0   0   0   0 
Satia       SD PR 2020 02 06 Q N   0   0   0   0   0   0   3   0   0   0   0   0   0 
Lopes       SD PR 2020 02 06 M Y   0   4   0   0   0   0   0   0   0   0   0   0   0 
Sorenson    SD PR 2020 02 04 Q Y   0   0   0   0   1   0   0   0   0   0   0   0   0 
Bao         SD PR 2020 01 31 S Y   0   0   0   0   1   0   0   0   0   0   0   0   0 
He          SD PR 2020 01 31 S Y   0   1   0   0   0   0   0   0   0   0   0   0   0 
Lessmann    SD PR 2020 01 29 Q Y   0   0   0   0   0   0   3   0   0   0   0   0   0 
Lima        SD PR 2020 01 23 M N   0   0   0   0   0   0   4   0   0   0   0   0   0 
Miller      SD PR 2020 01 28 C Y   0   2   0   0   0   0   0   0   0   0   0   0   0 
Waehrer     SD PR 2020 01 28 C Y   0   0   0   0   2   0   0   0   0   0   0   0   0 
Jaakkola    SD PR 2020 01 23 Q N   0   0   0   0   0   0   4   0   0   0   0   0   0 
Lammers     SD PR 2020 01 23 S Y   0   1   0   0   0   0   0   0   0   0   0   0   0 
Maghsoudloo RA PR 2020 01 17 C Y   0   0   0   0   0   0  10   0   0   0   0   0   0 
